"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"China","CHN","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.3","9.7","8.9","8.1","7.2","6.2","5.1","4","2.9","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","",
"Cote d'Ivoire","CIV","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.2","20.9","20.7","20","19.3","18.9","18.5","18.1","17.6","16.6","15.6","14.6","14.6","13.9","13.2","11.9","11","10.2","9.5","8.8","9.1","9.6","",
"Cameroon","CMR","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.6","20.4","19.1","17.4","15.7","14","12.4","11.1","8.3","6.2","4.3","4.1","4.2","4.4","4.8","5.3","5.9","6.2","6.1","5.9","5.8","5.7","",
"Congo, Dem. Rep.","COD","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.4","30.9","30.9","31.8","31.7","31.7","30.9","30.9","30.4","29.6","29.5","30.3","30.6","30.9","31.5","32.1","32.4","32.3","33.8","35","35.7","37","",
"Congo, Rep.","COG","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.9","26.4","26.5","27.8","29.1","31.1","33.2","35.6","38.1","40.5","40.3","37.2","32.5","29.5","29.3","29.5","30.2","29.8","29.1","27.8","27.1","26.8","",
"Colombia","COL","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.6","8.9","9.6","10.4","11.1","11.3","10.9","11.1","11.2","11.3","10.1","8.7","7.2","5.9","5.1","4.6","4.3","4.3","4.3","4.4","4.2","4.2","",
"Comoros","COM","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.9","20.9","18","16.6","16.6","17.4","18.6","19.9","18.7","17.3","15.7","15.4","14.8","14.4","13.9","13.5","13.1","13.1","13.4","13.9","15.7","16.9","",
"Cabo Verde","CPV","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.9","14.9","13.5","11.6","11.1","11.5","12.4","13.3","14","14.1","13.9","14.4","15.2","16.3","16.8","16.7","15.9","15.2","14","13.2","12.6","12.6","",
"Costa Rica","CRI","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.3","4.4","4.4","4","3.4","2.9","2.7","2.7","2.8","3","3.2","3.1","2.9","2.7","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","",
"Caribbean small states","CSS","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.57017410721176","7.33094164644147","7.20483712425085","7.01732186972127","6.91276613952896","6.52543013838687","6.77314101735914","6.6396441247789","6.84212815099252","6.91559818373415","6.95098041943883","6.74233218484868","6.35964989795306","6.0687042371091","5.86264973171254","5.72376873247518","5.57880349304296","5.32609147609148","5.21551851351999","5.31786872621672","5.45033819775757","5.47000113976276","",
